row,zone_name,hour,parkings_booked
427,18-1,19,86
428,18-1,20,67
429,18-1,21,42
430,18-1,22,26
431,18-1,23,26
432,19-PP,0,1
433,19-PP,1,0
434,19-PP,2,0
435,19-PP,3,0
436,19-PP,4,0
437,19-PP,5,0
438,19-PP,6,0
439,19-PP,7,0
440,19-PP,8,0
441,19-PP,9,2
442,19-PP,10,2
443,19-PP,11,1
444,19-PP,12,1
445,19-PP,13,0
446,19-PP,14,0
447,19-PP,15,0
448,19-PP,16,1
449,19-PP,17,1
450,19-PP,18,1
451,19-PP,19,2
452,19-PP,20,2
453,19-PP,21,2
454,19-PP,22,3
455,19-PP,23,4
456,2-0,0,1
457,2-0,1,1
458,2-0,2,1
459,2-0,3,1
460,2-0,4,1
461,2-0,5,1
462,2-0,6,1
463,2-0,7,2
464,2-0,8,5
465,2-0,9,13
466,2-0,10,19
467,2-0,11,20
468,2-0,12,15
469,2-0,13,12
470,2-0,14,7
471,2-0,15,4
472,2-0,16,4
473,2-0,17,6
474,2-0,18,8
475,2-0,19,5
476,2-0,20,1
477,2-0,21,1
478,2-0,22,1
479,2-0,23,1
480,2-1,0,3
481,2-1,1,4
482,2-1,2,4
483,2-1,3,4
484,2-1,4,4
485,2-1,5,4
486,2-1,6,5
487,2-1,7,8
488,2-1,8,11
489,2-1,9,16
490,2-1,10,23
491,2-1,11,28
492,2-1,12,24
493,2-1,13,18
494,2-1,14,14
495,2-1,15,11
496,2-1,16,9
497,2-1,17,11
498,2-1,18,12
499,2-1,19,8
500,2-1,20,4
501,2-1,21,4
502,2-1,22,4
503,2-1,23,4
504,2-2,0,1
505,2-2,1,1
506,2-2,2,1
507,2-2,3,1
508,2-2,4,1
509,2-2,5,1
510,2-2,6,2
511,2-2,7,3
512,2-2,8,7
513,2-2,9,11
514,2-2,10,10
515,2-2,11,10
516,2-2,12,9
517,2-2,13,7
518,2-2,14,4
519,2-2,15,3
520,2-2,16,3
521,2-2,17,4
522,2-2,18,5
523,2-2,19,3
524,2-2,20,1
525,2-2,21,1
526,2-2,22,1
527,2-2,23,1
528,2-3,0,0
529,2-3,1,0
530,2-3,2,0
531,2-3,3,0
532,2-3,4,0
533,2-3,5,0
534,2-3,6,0
535,2-3,7,1
536,2-3,8,0
537,2-3,9,1
538,2-3,10,1
539,2-3,11,1
540,2-3,12,0
541,2-3,13,0
542,2-3,14,1
543,2-3,15,0
544,2-3,16,0
545,2-3,17,0
546,2-3,18,0
547,2-3,19,0
548,2-3,20,0
549,2-3,21,0
550,2-3,22,0
551,2-3,23,0
552,2-4,0,0
553,2-4,1,1
554,2-4,2,1
555,2-4,3,1
556,2-4,4,1
557,2-4,5,1
558,2-4,6,1
559,2-4,7,1
560,2-4,8,0
561,2-4,9,0
562,2-4,10,2
563,2-4,11,3
564,2-4,12,2
565,2-4,13,1
566,2-4,14,0
567,2-4,15,0
568,2-4,16,0
569,2-4,17,1
570,2-4,18,2
571,2-4,19,2
572,2-4,20,1
573,2-4,21,1
574,2-4,22,1
575,2-4,23,1
576,20-1,0,0
577,20-1,1,0
578,20-1,2,0
579,20-1,3,0
580,20-1,4,0
581,20-1,5,0
582,20-1,6,0
583,20-1,7,1
584,20-1,8,3
585,20-1,9,5
586,20-1,10,5
587,20-1,11,3
588,20-1,12,2
589,20-1,13,2
590,20-1,14,1
591,20-1,15,0
592,20-1,16,0
593,20-1,17,0
594,20-1,18,0
595,20-1,19,0
596,20-1,20,0
597,20-1,21,0
598,20-1,22,0
599,20-1,23,0
600,20-2,0,0
601,20-2,1,0
602,20-2,2,0
603,20-2,3,0
604,20-2,4,0
605,20-2,5,0
606,20-2,6,0
607,20-2,7,0
608,20-2,8,0
609,20-2,9,1
610,20-2,10,2
611,20-2,11,1
612,20-2,12,0
613,20-2,13,0
614,20-2,14,0
615,20-2,15,0
616,20-2,16,0
617,20-2,17,0
618,20-2,18,0
619,20-2,19,0
620,20-2,20,0
621,20-2,21,0
622,20-2,22,0
623,20-2,23,0
624,20-3,0,0
625,20-3,1,0
626,20-3,2,0
627,20-3,3,0
628,20-3,4,0
629,20-3,5,0
630,20-3,6,0
631,20-3,7,0
632,20-3,8,1
633,20-3,9,1
634,20-3,10,0
635,20-3,11,0
636,20-3,12,0
637,20-3,13,0
638,20-3,14,0
639,20-3,15,0
640,20-3,16,0
641,20-3,17,0
642,20-3,18,0
643,20-3,19,0
644,20-3,20,0
645,20-3,21,0
646,20-3,22,0
647,20-3,23,0
648,21-1,0,3
649,21-1,1,4
650,21-1,2,4
651,21-1,3,4
652,21-1,4,4
653,21-1,5,4
654,21-1,6,5
655,21-1,7,2
656,21-1,8,8
657,21-1,9,12
658,21-1,10,13
659,21-1,11,12
660,21-1,12,13
661,21-1,13,12
662,21-1,14,9
663,21-1,15,7
664,21-1,16,7
665,21-1,17,7
666,21-1,18,9
667,21-1,19,12
668,21-1,20,14
669,21-1,21,15
670,21-1,22,14
671,21-1,23,10
672,21-2,0,2
673,21-2,1,3
674,21-2,2,3
675,21-2,3,3
676,21-2,4,3
677,21-2,5,3
678,21-2,6,4
679,21-2,7,2
680,21-2,8,4
681,21-2,9,8
682,21-2,10,9
683,21-2,11,9
684,21-2,12,8
685,21-2,13,6
686,21-2,14,7
687,21-2,15,6
688,21-2,16,5
689,21-2,17,5
690,21-2,18,6
691,21-2,19,7
692,21-2,20,7
693,21-2,21,8
694,21-2,22,8
695,21-2,23,7
696,22-1,0,0
